	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. 1->2 (Hz)	Excitation freq. 1->3 (Hz)	Excitation freq. 1->4 (Hz)	Excitation freq. 1->5 (Hz)	Excitation freq. 1->6 (Hz)	Excitation freq. 1->7 (Hz)	Excitation freq. 1->8 (Hz)	Excitation freq. 1->9 (Hz)	Excitation freq. 1->10 (Hz)
99	99.0	9.634651271841705	28668.051465771317	28668.05146577469	55649.3713057111	56473.233232882216	56473.23323288317	81656.66658588055	81656.66658588077	83322.25809170213	83398.08364887792
100	100.0	9.731970981658288	28820.95289362312	28820.95289362897	55956.218835701526	56779.69166979055	56779.691669793254	82119.02205021672	82119.02205021944	83783.68280761655	83858.940356046
101	101.0	9.82929069147487	28973.086788688994	28973.08678869029	56261.51286428583	57084.60335784375	57084.603357846056	82579.00830476396	82579.00830476759	84242.75473537545	84317.45487676373
102	102.0	9.926610401291454	29124.46460520622	29124.464605209447	56565.27683002527	57387.99154311025	57387.99154311573	83036.66159398992	83036.66159399184	84699.50967449983	84773.66276046564
103	103.0	10.023930111108035	29275.097515132	29275.09751513696	56867.533585483405	57689.87889346438	57689.8788934664	83492.01724883153	83492.01724883376	85153.98252558093	85227.59865953065
104	104.0	10.12124982092462	29424.996417745864	29424.996417746355	57168.305417722586	57990.287518609424	57990.28751861172	83945.10971807083	83945.10971807243	85606.20732123553	85679.29636106144
105	105.0	10.2185695307412	29574.17194888579	29574.171948889132	57467.61406769545	58289.23898916447	58289.23898916594	84395.97259838469	84395.97259838504	86056.21725569978	86128.78881710286
106	106.0	10.315889240557784	29722.63448979633	29722.634489800337	57765.48074901278	58586.754354989615	58586.754354989724	84844.63866317361	84844.63866317473	86504.04471323427	86576.1081736324
107	107.0	10.413208950374367	29870.394175589736	29870.394175590453	58061.92616576617	58882.85416269346	58882.85416269432	85291.13989022997	85291.13989023304	86949.72129537517	87021.28579821285
108	108.0	10.51052866019095	30017.460903323383	30017.4609033237	58356.97052950084	59177.55847229979	59177.55847230518	85735.50748817837	85735.5074881799	87393.27784690303	87464.35230627829
109	109.0	10.607848370007533	30163.84433976621	30163.844339767013	58650.633575663946	59470.886873377494	59470.88687338	86177.77192189299	86177.77192189355	87834.7444809081	87905.33758650193
110	110.0	10.705168079824118	30309.553928856745	30309.553928862504	58942.93457913797	59762.85850031601	59762.85850031719	86617.9629368915	86617.96293689315	88274.15060270036	88344.270824871
