	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
227	567.5	95.29716912419713	52183.89177407447	52183.89177407723	52183.89177407599
228	570.0	95.71698044192486	52299.28482775079	52299.28482775358	52299.284827753
229	572.5	96.13679175965261	52414.425090667006	52414.42509066983	52414.42509066838
230	575.0	96.55660307738034	52529.31421694154	52529.31421694543	52529.31421694413
231	577.5	96.97641439510808	52643.953842732306	52643.95384273575	52643.953842734285
232	580.0	97.39622571283581	52758.34558650729	52758.34558651016	52758.345586508985
233	582.5	97.81603703056356	52872.49104931233	52872.49104931535	52872.491049314114
234	585.0	98.23584834829131	52986.39181503066	52986.39181503424	52986.39181503118
235	587.5	98.65565966601906	53100.04945064353	53100.04945064802	53100.049450645485
236	590.0	99.0754709837468	53213.465506477296	53213.465506480046	53213.46550647898
237	592.5	99.49528230147453	53326.64151645061	53326.641516454765	53326.641516452204
238	595.0	99.91509361920227	53439.57899832119	53439.57899832417	53439.578998323064
239	597.5	100.33490493693002	53552.27945391642	53552.27945391988	53552.279453918076
240	600.0	100.75471625465775	53664.74436937173	53664.74436937446	53664.744369372755
241	602.5	101.1745275723855	53776.975215356164	53776.97521535979	53776.97521535745
242	605.0	101.59433889011322	53888.97344729838	53888.97344730113	53888.97344730012
243	607.5	102.01415020784097	54000.74050560621	54000.74050560993	54000.74050560771
244	610.0	102.4339615255687	54112.2778158824	54112.277815886635	54112.27781588402
245	612.5	102.85377284329645	54223.586789138564	54223.58678914204	54223.58678914128
246	615.0	103.27358416102419	54334.66882200175	54334.66882200615	54334.66882200329
247	617.5	103.69339547875194	54445.5252969191	54445.52529692214	54445.52529692054
248	620.0	104.11320679647967	54556.15758235712	54556.15758236166	54556.15758235897
249	622.5	104.53301811420742	54666.56703300359	54666.56703300899	54666.567033005354
250	625.0	104.95282943193516	54776.754989955676	54776.75498995864	54776.754989957015
251	627.5	105.3726407496629	54886.72278091324	54886.722780916185	54886.72278091523
252	630.0	105.79245206739066	54996.47172036314	54996.471720367	54996.4717203657
253	632.5	106.21226338511838	55106.003109766505	55106.00310977054	55106.00310976908
254	635.0	106.63207470284613	55215.31823773556	55215.31823773892	55215.3182377361
255	637.5	107.05188602057386	55324.41838020787	55324.41838021126	55324.41838020803
256	640.0	107.47169733830161	55433.30480062763	55433.304800630955	55433.30480062926
257	642.5	107.89150865602934	55541.97875010987	55541.97875011362	55541.97875011199
258	645.0	108.31131997375708	55650.44146761026	55650.44146761481	55650.44146761248
259	647.5	108.73113129148481	55758.69418009435	55758.694180097824	55758.69418009652
260	650.0	109.15094260921258	55866.7381026884	55866.73810269134	55866.7381026896
261	652.5	109.57075392694031	55974.57443884839	55974.5744388536	55974.574438850264
262	655.0	109.99056524466806	56082.204380517716	56082.204380520794	56082.20438051926
263	657.5	110.41037656239578	56189.62910826849	56189.62910827149	56189.62910826976
264	660.0	110.83018788012353	56296.84979146718	56296.84979147126	56296.849791468376
265	662.5	111.24999919785127	56403.86758841415	56403.86758841717	56403.867588415305
266	665.0	111.66981051557902	56510.68364649138	56510.68364649435	56510.683646493446
267	667.5	112.08962183330675	56617.29910230732	56617.299102312056	56617.29910231034
268	670.0	112.5094331510345	56723.71508184239	56723.715081845796	56723.715081844406
269	672.5	112.92924446876222	56829.932700573605	56829.93270057807	56829.93270057515
270	675.0	113.34905578648997	56935.953063626584	56935.9530636306	56935.95306362997
271	677.5	113.7688671042177	57041.77726590293	57041.77726590686	57041.77726590414
272	680.0	114.18867842194547	57147.40639220877	57147.4063922127	57147.40639220979
273	682.5	114.6084897396732	57252.84151739304	57252.84151739606	57252.841517393426
274	685.0	115.02830105740094	57358.08370646711	57358.083706470265	57358.08370646914
275	687.5	115.44811237512867	57463.13401473418	57463.13401473786	57463.134014737305
276	690.0	115.86792369285642	57567.99348791205	57567.99348791593	57567.99348791496
277	692.5	116.28773501058416	57672.66316225625	57672.6631622593	57672.663162257246
278	695.0	116.7075463283119	57777.144064674845	57777.144064678374	57777.14406467564
279	697.5	117.12735764603964	57881.4372128504	57881.437212854704	57881.43721285417
280	700.0	117.54716896376738	57985.54361535729	57985.543615360846	57985.543615358445
281	702.5	117.96698028149513	58089.464271765595	58089.464271769284	58089.46427176839
282	705.0	118.38679159922286	58193.200172766396	58193.20017277058	58193.20017276863
283	707.5	118.80660291695061	58296.7523002715	58296.75230027615	58296.75230027553
284	710.0	119.22641423467834	58400.12162752796	58400.12162753169	58400.121627531356
285	712.5	119.64622555240608	58503.30911922118	58503.30911922619	58503.30911922307
286	715.0	120.06603687013381	58606.31573158246	58606.31573158789	58606.31573158548
287	717.5	120.48584818786156	58709.14241249205	58709.14241249603	58709.14241249461
288	720.0	120.9056595055893	58811.79010157859	58811.79010158299	58811.79010157973
289	722.5	121.32547082331705	58914.25973032056	58914.25973032469	58914.25973032169
290	725.0	121.74528214104477	59016.55222214754	59016.5522221513	59016.55222214939
291	727.5	122.16509345877252	59118.66849253335	59118.66849253701	59118.668492535166
292	730.0	122.58490477650027	59220.609449092546	59220.60944909708	59220.609449095355
293	732.5	123.00471609422802	59322.375991679204	59322.37599168503	59322.37599168144
294	735.0	123.42452741195576	59423.96901247203	59423.969012477	59423.96901247499
295	737.5	123.84433872968347	59525.3893960705	59525.389396073646	59525.389396072045
296	740.0	124.26415004741122	59626.63801957962	59626.638019585356	59626.63801958243
297	742.5	124.68396136513897	59727.715752713055	59727.715752716744	59727.71575271525
298	745.0	125.10377268286672	59828.62345785661	59828.62345786129	59828.62345785959
299	747.5	125.52358400059444	59929.3619901755	59929.361990179954	59929.36199017778
300	750.0	125.94339531832219	60029.93219768807	60029.932197692295	60029.93219768963
301	752.5	126.36320663604992	60130.334921349124	60130.33492135338	60130.33492135139
302	755.0	126.78301795377767	60230.57099513827	60230.57099514283	60230.57099514066
303	757.5	127.2028292715054	60330.64124613521	60330.641246139225	60330.64124613724
304	760.0	127.62264058923317	60430.546494598435	60430.546494603295	60430.54649460078
305	762.5	128.0424519069609	60530.2875540515	60530.2875540559	60530.28755405296
306	765.0	128.46226322468863	60629.86523134795	60629.86523135369	60629.86523135095
